

####### THIS IS ONLY AN EXCERPT OF THE DATABASE

index	word	frequency	wordType	stressPosition	syllableNumber
106	abebben	3	V	1	3
107	abeisen	0	V	1	3
108	Abend	790	N	1	2
109	Abendanzug	2	N	1	4
110	Abendbrot	20	N	1	3
111	Abenddaemmerung	4	N	1	5
112	abendelang	0	A	1	4
113	Abendessen	45	N	1	4
114	abendfuellend	5	A	1	4
116	Abendkleid	10	N	1	3
117	Abendkurs	3	N	1	3
118	Abendkursus	3	N	1	4
119	Abendland	162	N	1	3
120	Abendlaender	52	N	1	4
121	abendlaendisch	147	A	1	4
122	abendlich	21	A	1	3
123	Abendmahl	3	N	1	3
124	Abendprogramm	2	N	1	4
125	Abendrot	4	N	1	3
126	Abendroete	5	N	1	4
128	abenteuern	0	V	1	4
129	Abenteuer	132	N	1	4
130	Abenteuerin	4	N	1	5
131	abenteuerlich	42	A	1	5
132	Abenteuerlust	4	N	1	5
133	Abenteurer	20	N	1	4
134	Abenteurerin	0	N	1	5
137	Aberglaube	15	N	1	4
138	Aberglauben	11	N	1	4
139	aberglaeubig	0	A	1	4
140	aberglaeubisch	17	A	1	4
142	aberkennen	10	V	1	4
143	Aberkennung	2	N	1	4
144	abermalig	7	A	1	4
148	Aberwitz	1	N	1	3
149	aberwitzig	1	A	1	4
150	abessen	1	V	1	3
151	abessinisch	1	A	3	4
152	abfackeln	0	V	1	3
153	abfaedeln	0	V	1	3
154	abfahren	51	V	1	3
155	Abfahrt	57	N	1	2
156	Abfahrtszeit	3	N	1	3
157	abfallen	29	V	1	3
158	Abfall	56	N	1	2
159	Abfalleimer	2	N	1	4
160	abfaellig	12	A	1	3
161	Abfallprodukt	2	N	1	4
162	abfaelschen	0	V	1	3
163	abfangen	39	V	1	3
164	abfaerben	4	V	1	3
165	abfasen	0	V	1	3
166	abfassen	12	V	1	3
167	Abfassung	7	N	1	3
168	abfaulen	0	V	1	3
169	abfedern	0	V	1	3
170	abfeilen	0	V	1	3
171	abfertigen	17	V	1	4
172	Abfertigung	28	N	1	4
173	abfeuern	17	V	1	3
174	abfieren	0	V	1	3
175	abfinden	83	V	1	3
176	Abfindung	10	N	1	3
177	Abfindungssumme	0	N	1	5
178	abflachen	3	V	1	3
179	abflauen	0	V	1	3
180	abfliegen	10	V	1	3
181	abfliessen	13	V	1	3
182	Abflug	26	N	1	2
183	Abfluss	6	N	1	2
184	Abflusshahn	0	N	1	3
185	Abfolge	32	N	1	3
187	abfragen	5	V	1	3
188	abfressen	0	V	1	3
189	abfretten	0	V	1	3
190	abfrieren	0	V	1	3
191	abfrottieren	0	V	1	4
192	abfuehlen	0	V	1	3
193	abfuehren	39	V	1	3
194	Abfuhr	20	N	1	2
195	Abfuehrmittel	3	N	1	4
196	Abfuehrung	1	N	1	3
197	abfuellen	6	V	1	3
198	abfuettern	0	V	1	3
199	Abfuetterung	0	N	1	4
200	Abgabe	120	N	1	3
201	abgabenfrei	0	A	1	4
202	abgabenpflichtig	0	A	1	5
203	Abgabesoll	1	N	1	4
204	Abgang	40	N	1	2
205	Abgaenger	0	N	1	3
206	abgaengig	0	A	1	3
207	Abgangszeugnis	4	N	1	4
208	Abgas	16	N	1	2
209	abgasfrei	0	A	1	3
210	abgeben	430	V	1	3
211	abgeblasst	1	A	1	3
212	abgebrannt	9	A	1	3
213	abgebrueht	5	A	1	3
214	abgedroschen	4	A	1	4
215	abgefeimt	2	A	1	3
216	Abgefeimtheit	1	N	1	4
217	abgegriffen	9	A	1	4
218	abgehen	44	V	1	3
219	abgehackt	4	A	1	3
220	abgekaempft	2	A	1	3
221	abgekartet	3	A	1	4
222	abgeklaert	4	A	1	3
223	Abgeklaertheit	1	N	1	4
224	Abgeld	0	N	1	2
225	abgelebt	2	A	1	3
226	abgeledert	0	A	1	4
227	abgelegen	10	A	1	4
228	abgeleiert	0	A	1	4
229	abgelten	6	V	1	3
230	Abgeltung	2	N	1	3
231	abgemacht	6	A	1	3
232	abgemessen	4	A	1	4
233	abgeneigt	7	A	1	3
234	abgenutzt	11	A	1	3
235	abgeordnet	1	A	1	4
236	Abgeordnete	609	N	1	5
238	abgerissen	31	A	1	4
239	abgerundet	11	A	1	4
240	abgesagt	24	A	1	3
241	Abgesandte	25	N	1	4
242	Abgesang	1	N	1	3
243	abgeschabt	1	A	1	3
244	abgeschieden	3	A	1	4
245	Abgeschiedenheit	6	N	1	5
246	abgeschlagen	12	A	1	4
247	abgeschlossen	302	A	1	4
248	abgeschmackt	1	A	1	3
249	Abgeschmacktheit	1	N	1	4
250	abgesehen	111	A	1	4
251	abgesondert	7	A	1	4
252	abgespannt	6	A	1	3
253	abgespielt	13	A	1	3
254	abgestanden	7	A	1	4
255	abgestorben	4	A	1	4
256	abgestossen	7	A	1	4
257	abgestuft	6	A	1	3
258	abgestumpft	4	A	1	3
259	Abgestumpftheit	0	N	1	4
260	abgetakelt	1	A	1	4
261	abgetan	10	A	1	3
262	abgetragen	15	A	1	4
263	abgewinnen	22	V	1	4
264	abgewogen	9	A	1	4
265	Abgewogenheit	1	N	1	5
266	abgewoehnen	23	V	1	4
267	abgezogen	24	A	1	4
268	abgiessen	0	V	1	3
269	Abglanz	10	N	1	2
270	abgleichen	0	V	1	3
271	abgleiten	5	V	1	3
272	abglitschen	0	V	1	3
273	Abgott	2	N	1	2
274	Abgoetterei	0	N	4	4
275	abgoettisch	1	A	1	3
276	Abgottschlange	0	N	1	4
277	abgraben	4	V	1	3
278	abgrasen	2	V	1	3
279	abgraetschen	0	V	1	3
280	abgreifen	4	V	1	3
281	abgrenzen	26	V	1	3
282	Abgrenzung	31	N	1	3
283	Abgrund	64	N	1	2
284	abgruendig	4	A	1	3
285	abgrundtief	5	A	1	3
286	abgucken	2	V	1	3
287	Abguss	6	N	1	2
288	abhaben	0	V	1	3
289	abhacken	5	V	1	3
290	abhaken	1	V	1	3
291	abhaekeln	0	V	1	3
292	abhalftern	0	V	1	3
293	abhalten	155	V	1	3
294	Abhaltung	10	N	1	3
295	abhandeln	12	V	1	3
297	Abhandlung	21	N	1	3
298	abhaengen	115	V	1	3
299	Abhang	9	N	1	2
300	abhaengig	197	A	1	3
301	Abhaengigkeit	62	N	1	4
303	abhaermen	0	V	1	3
304	abhaerten	0	V	1	3
305	Abhaertung	1	N	1	3
306	abhauen	12	V	1	3
307	abheben	43	V	1	3
308	abhebern	0	V	1	3
309	abheften	2	V	1	3
310	abhelfen	15	V	1	3
311	abhetzen	0	V	1	3
312	abheuern	0	V	1	3
313	Abhilfe	16	N	1	3
314	Abhitze	0	N	1	3
315	abholen	95	V	1	3
316	abhold	1	A	1	2
317	Abholer	1	N	1	3
318	abholzen	2	V	1	3
319	Abholzung	0	N	1	3
320	abhoeren	4	V	1	3
321	abhorchen	1	V	1	3
323	abirren	1	V	1	3
325	Abiturient	27	N	5	5
328	abjudizieren	0	V	4	5
329	abkaemmen	1	V	1	3
330	abkaempfen	2	V	1	3
331	abkanzeln	0	V	1	3
332	Abkanzelung	0	N	1	4
333	abkapiteln	0	V	1	4
334	abkapseln	2	V	1	3
335	Abkapselung	1	N	1	4
336	Abkapslung	0	N	1	3
337	abkarten	1	V	1	3
338	abkassieren	1	V	1	4
339	abkaufen	8	V	1	3
340	abkehren	2	V	1	3
341	Abkehr	28	N	1	2
342	abkippen	0	V	1	3
343	abklappern	2	V	1	3
344	abklaeren	5	V	1	3
345	abklatschen	0	V	1	3
346	Abklatsch	0	N	1	2
347	abklemmen	1	V	1	3
348	abklingen	8	V	1	3
349	abklopfen	6	V	1	3
350	abknabbern	1	V	1	3
351	abknallen	4	V	1	3
352	abknappen	1	V	1	3
353	abknapsen	0	V	1	3
354	abknicken	1	V	1	3
355	abknoepfen	1	V	1	3
356	abkochen	1	V	1	3
357	abkommen	17	V	1	3
358	abkommandieren	5	V	1	5
359	Abkomme	210	N	1	3
360	Abkommen	336	N	1	3
361	Abkommenschaft	0	N	1	4
362	abkoemmlich	1	A	1	3
363	Abkoemmling	8	N	1	3
364	abkoennen	0	V	1	3
365	abkonterfeien	1	V	1	5
366	abkoppeln	1	V	1	3
367	abkragen	0	V	1	3
368	abkratzen	3	V	1	3
369	abkriegen	2	V	1	3
370	abkuehlen	16	V	1	3
371	abkuendigen	0	V	1	4
372	Abkunft	7	N	1	2
373	abkupfern	0	V	1	3
374	abkuerzen	26	V	1	3
375	Abkuerzung	26	N	1	3
376	Abkuerzungssprache	0	N	1	5
378	Abkuerzungszeichen	0	N	1	5
379	abladen	11	V	1	3
380	Abladeplatz	2	N	1	4
381	Ablader	5	N	1	3
382	Abladung	1	N	1	3
383	Ablage	3	N	1	3
384	ablagern	13	V	1	3
385	Ablagerung	31	N	1	4
386	ablandig	2	A	1	3
387	ablassen	15	V	1	3
388	Ablass	1	N	1	2
389	Ablassbrief	0	N	1	3
393	ablaufen	84	V	1	3
394	Ablauf	217	N	1	2
395	Ablaufrinne	0	N	1	4
396	ablaugen	0	V	1	3
397	ablauten	0	V	1	3
398	Ablaut	0	N	1	2
399	ableben	1	V	1	3
400	Ableben	17	N	1	3
401	ablecken	0	V	1	3
402	abledern	0	V	1	3
403	ablegen	110	V	1	3
404	Ableger	6	N	1	3
405	ablehnen	551	V	1	3
406	Ablehnung	166	N	1	3
407	ableiern	0	V	1	3
408	ableisten	5	V	1	3
409	ableiten	85	V	1	3
410	Ableitung	11	N	1	3
411	Ableitungssilbe	0	N	1	5
412	ablenken	62	V	1	3
413	Ablenkung	19	N	1	3
415	ablesen	75	V	1	3
416	Ableser	0	N	1	3
417	ableugnen	3	V	1	3
418	ablichten	1	V	1	3
419	abliefern	41	V	1	3
420	Ablieferung	28	N	1	4
421	Ablieferungssoll	11	N	1	5
422	abliegen	2	V	1	3
423	ablisten	2	V	1	3
424	ablochen	0	V	1	3
425	ablocken	0	V	1	3
426	ablohnen	0	V	1	3
427	abloesen	106	V	1	3
428	abloeschen	0	V	1	3
429	Abloese	16	N	1	3
430	Abloesung	51	N	1	3
431	abluchsen	2	V	1	3
432	Abluft	0	N	1	2
433	abmachen	11	V	1	3
434	Abmachung	70	N	1	3
435	abmagern	12	V	1	3
436	Abmagerung	1	N	1	4
437	abmalen	3	V	1	3
438	Abmarsch	1	N	1	2
439	abmarschbereit	1	A	1	4
440	abmarschieren	1	V	1	4
441	abmehren	0	V	1	3
442	abmeiern	1	V	1	3
443	Abmeierung	0	N	1	4
444	abmelden	8	V	1	3
445	Abmeldung	3	N	1	3
446	abmergeln	0	V	1	3
447	abmessen	5	V	1	3
448	Abmessung	18	N	1	3
449	abmontieren	5	V	1	4
450	abmueden	0	V	1	3
451	abmuehen	5	V	1	3
452	abmurksen	1	V	1	3
453	abmustern	1	V	1	3
454	Abmusterung	0	N	1	4
455	abnabeln	2	V	1	3
456	abnagen	0	V	1	3
457	abnaehen	0	V	1	3
458	Abnaeher	0	N	1	3
459	Abnahme	46	N	1	3
460	abnehmen	172	V	1	3
461	Abnehmer	52	N	1	3
462	Abnehmerland	1	N	1	4
463	abneigen	7	V	1	3
464	Abneigung	32	N	1	3
465	abnibbeln	0	V	1	3
466	abnorm	2	A	2	2
467	abnormal	1	A	1	3
468	Abnormitaet	1	N	2	4
469	abnoetigen	2	V	1	4
470	abnutzen	6	V	1	3
471	abnuetzen	1	V	1	3
472	Abnutzung	8	N	1	3
473	Abnuetzung	3	N	1	3
476	Abonnent	45	N	3	3
477	abonnieren	5	V	3	4
478	abordnen	1	V	1	3
479	Abordnung	55	N	1	3
480	Abort	4	N	2	2
481	abortieren	0	V	3	4
482	abortiv	2	A	3	3
483	abpacken	3	V	1	3
484	abparken	0	V	1	3
485	abpassen	0	V	1	3
486	abpausen	0	V	1	3
487	abperlen	0	V	1	3
488	abpfeifen	1	V	1	3
489	abpfluecken	1	V	1	3
491	abpinnen	0	V	1	3
492	abplagen	3	V	1	3
493	abplatten	1	V	1	3
494	abprallen	4	V	1	3
495	Abprall	0	N	1	2
496	abpressen	0	V	1	3
497	abprotzen	0	V	1	3
498	abputzen	0	V	1	3
499	Abputz	0	N	1	2
500	abquaelen	2	V	1	3
502	abrackern	0	V	1	3
503	abrahmen	0	V	1	3
505	abrasieren	0	V	1	4
507	abraten	12	V	1	3
508	abraeumen	7	V	1	3
509	Abraum	12	N	1	2
510	Abraumsalz	0	N	1	3
511	Abraxas	1	N	2	3
512	abreagieren	4	V	1	5
513	abrebeln	0	V	1	3
514	abrechnen	33	V	1	3
515	Abrechnung	50	N	1	3
516	Abrechte	0	N	1	3
517	Abrede	15	N	1	3
518	abregen	0	V	1	3
519	abreiben	6	V	1	3
520	Abreibung	0	N	1	3
521	abreichen	0	V	1	3
522	abreisen	43	V	1	3
523	Abreise	57	N	1	3
524	abreissen	39	V	1	3
525	Abreissblock	0	N	1	3
526	Abreisskalender	0	N	1	5
527	abreiten	0	V	1	3
528	abrichten	6	V	1	3
529	Abrichter	0	N	1	3
530	Abrichtung	0	N	1	3
531	Abrieb	0	N	1	2
532	abriebfest	2	A	1	3
533	abriegeln	13	V	1	3
534	Abriegelung	3	N	1	4
535	Abrieglung	0	N	1	3
536	abringen	12	V	1	3
537	Abriss	13	N	1	2
538	abrollen	7	V	1	3
539	abruecken	6	V	1	3
540	abrufen	15	V	1	3
541	Abruf	9	N	1	2
542	abrufbereit	2	A	1	4
543	abrunden	16	V	1	3
544	Abrundung	7	N	1	3
545	abrupfen	0	V	1	3
546	abrupt	21	A	2	2
547	abruesten	6	V	1	3
548	Abruestung	111	N	1	3
550	abrutschen	6	V	1	3
551	absacken	5	V	1	3
552	absagen	42	V	1	3
553	absaegen	4	V	1	3
554	Absage	56	N	1	3
555	absahnen	0	V	1	3
556	Absatz	221	N	1	2
557	Absatzgebiet	4	N	1	4
559	absaufen	2	V	1	3
560	abschaben	1	V	1	3
561	abschaffen	59	V	1	3
562	Abschaffung	59	N	1	3
563	abschalten	21	V	1	3
564	abschatten	0	V	1	3
565	abschattieren	0	V	1	4
566	Abschattung	0	N	1	3
567	abschaetzen	19	V	1	3
568	abschaetzig	5	A	1	3
569	Abschaum	0	N	1	2
570	abscheiden	1	V	1	3
571	abscheren	0	V	1	3
572	Abscheu	21	N	1	2
573	abscheuerregend	0	A	1	5
574	abscheulich	20	A	1	3
575	Abscheulichkeit	2	N	1	4
576	abschicken	7	V	1	3
577	abschieben	17	V	1	3
578	Abschiebung	2	N	1	3
579	Abschied	181	N	1	2
580	Abschiedsbesuch	9	N	1	4
581	Abschiedsbrief	10	N	1	3
582	Abschiedstag	0	N	1	3
583	abschiessen	43	V	1	3
584	abschilfern	0	V	1	3
585	Abschilferung	0	N	1	4
586	abschinden	0	V	1	3
587	abschirmen	23	V	1	3
588	Abschirmung	2	N	1	3
589	abschirren	0	V	1	3
590	abschlachten	3	V	1	3
591	Abschlachtung	0	N	1	3
592	abschlaffen	0	V	1	3
593	abschlagen	19	V	1	3
594	Abschlag	37	N	1	2
595	abschlaegig	5	A	1	3
596	abschlaeglich	0	A	1	3
597	Abschlagszahlung	4	N	1	4
598	abschlaemmen	0	V	1	3
599	abschleifen	6	V	1	3
600	abschleppen	9	V	1	3
601	Abschleppdienst	2	N	1	3
602	abschliessen	410	V	1	3
603	Abschluss	580	N	1	2
604	Abschlussexamen	5	N	1	5
605	Abschlusspruefung	14	N	1	4
606	Abschlussstichtag	0	N	1	4
607	abschmalzen	0	V	1	3
608	abschmaelzen	0	V	1	3
609	abschmecken	0	V	1	3
610	abschmelzen	1	V	1	3
611	abschmettern	0	V	1	3
612	abschmieren	4	V	1	3
613	abschminken	2	V	1	3
614	abschmirgeln	0	V	1	3
615	abschnallen	5	V	1	3
616	abschneiden	83	V	1	3
617	Abschnitt	226	N	1	2
619	Abschnitzel	0	N	1	3
620	abschnueren	3	V	1	3
621	Abschnuerung	2	N	1	3
622	abschoepfen	14	V	1	3
623	Abschoepfung	11	N	1	3
624	abschotten	0	V	1	3
625	abschraegen	0	V	1	3
626	abschrauben	1	V	1	3
627	abschrecken	5	V	1	3
628	abschreckend	0	A	1	3
629	Abschreckung	0	N	1	3
630	Abschreckungsstrafe	0	N	1	5
631	abschreiben	48	V	1	3
632	Abschreibung	182	N	1	3
633	Abschrift	30	N	1	2
634	abschriftlich	0	A	1	3
635	abschroten	0	V	1	3
636	Abschrot	0	N	1	2
637	abschrubben	1	V	1	3
638	abschuften	1	V	1	3
639	abschuppen	1	V	1	3
640	Abschuppung	0	N	1	3
641	abschuerfen	0	V	1	3
642	Abschuerfung	0	N	1	3
643	Abschuss	17	N	1	2
644	abschuessig	3	A	1	3
645	Abschussrampe	8	N	1	4
646	abschuetten	0	V	1	3
647	abschuetteln	22	V	1	3
648	abschwaechen	34	V	1	3
649	Abschwaechung	32	N	1	3
650	abschweifen	4	V	1	3
651	Abschweifung	6	N	1	3
652	abschwellen	0	V	1	3
653	abschwemmen	0	V	1	3
654	abschwenken	2	V	1	3
655	abschwingen	0	V	1	3
656	abschwirren	1	V	1	3
657	abschwoeren	2	V	1	3
658	Abschwung	1	N	1	2
659	absehen	202	V	1	3
660	absehbar	76	A	1	3
661	absein	0	V	1	2
662	abseilen	1	V	1	3
664	Abseit	0	N	1	2
665	Abseite	0	N	1	3
666	Abseitigkeit	1	N	1	4
668	Abseits	8	N	1	2
670	Abseitsstellung	1	N	1	4
671	absenden	13	V	1	3
672	Absender	26	N	1	3
673	Absendung	2	N	1	3
674	absenken	0	V	1	3
675	Absenker	0	N	1	3
677	Absenz	0	N	2	2
678	abserbeln	0	V	1	3
679	abservieren	2	V	1	4
680	absetzen	163	V	1	3
681	absetzbar	11	A	1	3
682	Absetzung	27	N	1	3
683	absichern	27	V	1	3
684	Absicht	427	N	1	2
685	absichtlich	49	A	1	3
686	Absichtlichkeit	0	N	1	4
687	Absichtserklaerung	8	N	1	5
688	absichtslos	3	A	1	3
689	absichtsvoll	4	A	1	3
690	absingen	0	V	1	3
691	absinken	32	V	1	3
692	absitzen	6	V	1	3
694	Absolutheit	5	N	3	4
695	Absolution	5	N	5	5
696	Absolutismus	4	N	4	5
697	Absolutist	0	N	4	4
698	absolutistisch	4	A	4	5
700	Absolvent	34	N	3	3
701	absolvieren	65	V	3	4
702	Absolvierung	6	N	1	4
703	absondern	13	V	1	3
704	absonderlich	12	A	2	4
705	Absonderlichkeit	2	N	2	5
706	Absonderung	2	N	1	4
708	Absorber	1	N	2	3
709	absorbieren	16	V	3	4
710	Absorption	5	N	4	4
711	absorptiv	0	A	3	3
712	abspalten	2	V	1	3
713	Abspaltung	4	N	1	3
714	abspanen	0	V	1	3
715	abspaenen	0	V	1	3
716	abspannen	6	V	1	3
717	Abspannung	0	N	1	3
718	absparen	0	V	1	3
719	abspeichern	0	V	1	3
720	abspeisen	7	V	1	3
721	abspenstig	2	A	1	3
722	absperren	25	V	1	3
723	Absperrhahn	1	N	1	3
724	Absperrkette	1	N	1	4
725	Absperrung	11	N	1	3
726	abspiegeln	0	V	1	3
727	abspielen	60	V	1	3
728	absplittern	0	V	1	3
729	Absplitterung	1	N	1	4
730	Absprache	35	N	1	3
731	absprachegemaess	0	A	1	5
732	absprechen	27	V	1	3
733	abspringen	12	V	1	3
734	Absprung	6	N	1	2
735	Absprunghafen	1	N	1	4
736	abspulen	2	V	1	3
737	abspuelen	2	V	1	3
738	abstammen	8	V	1	3
739	Abstammung	15	N	1	3
740	Abstand	280	N	1	2
741	abstaendig	0	A	1	3
742	Abstandssumme	0	N	1	4
743	abstatten	38	V	1	3
744	abstauben	1	V	1	3
745	abstaeuben	0	V	1	3
746	abstechen	4	V	1	3
747	Abstecher	7	N	1	3
748	abstecken	16	V	1	3
749	abstehen	4	V	1	3
750	absteifen	0	V	1	3
751	absteigen	24	V	1	3
752	Absteige	1	N	1	3
753	Absteigequartier	4	N	1	5
754	Absteiger	8	N	1	3
755	abstellen	85	V	1	3
756	Abstellbahnhof	0	N	1	4
757	Abstellgleis	4	N	1	3
758	Abstellraum	8	N	1	3
759	Abstellung	3	N	1	3
760	abstempeln	11	V	1	3
761	Abstempelung	9	N	1	4
762	absteppen	0	V	1	3
763	absterben	7	V	1	3
764	Abstich	3	N	1	2
765	Abstieg	33	N	1	2
766	abstiegsgefaehrdet	2	A	1	5
767	abstillen	0	V	1	3
768	abstimmen	85	V	1	3
769	Abstimmkreis	0	N	1	3
770	Abstimmschaerfe	0	N	1	4
771	Abstimmung	173	N	1	3
773	abstinent	2	A	3	3
774	Abstinent	1	N	3	3
775	Abstinenz	5	N	3	3
776	Abstinenzler	2	N	3	4
777	Abstinenztag	0	N	3	4
778	abstoppen	4	V	1	3
779	abstossen	32	V	1	3
780	Abstoss	12	N	1	2
781	abstossend	4	A	1	3
782	Abstossung	1	N	1	3
783	abstottern	0	V	1	3
784	abstrafen	1	V	1	3
785	Abstrafung	0	N	1	3
787	abstrahlen	4	V	1	3
789	Abstraktion	59	N	4	4
791	Abstraktum	6	N	2	3
792	abstraengen	1	V	1	3
793	abstreichen	3	V	1	3
794	Abstreicher	0	N	1	3
795	abstreiten	18	V	1	3
796	Abstrich	16	N	1	2
798	abstufen	3	V	1	3
799	Abstufung	12	N	1	3
800	abstumpfen	5	V	1	3
801	Abstumpfung	0	N	1	3
802	abstuerzen	69	V	1	3
803	Absturz	46	N	1	2
804	abstuetzen	10	V	1	3
805	absuchen	10	V	1	3
807	Absurditaet	11	N	4	4
810	Abszissenachse	0	N	2	5
812	abtakeln	2	V	1	3
813	Abtakelung	0	N	1	4
814	Abtaklung	0	N	1	3
815	abtasten	6	V	1	3
816	Abtastung	0	N	1	3
817	abtauen	0	V	1	3
818	abtauschen	1	V	1	3
819	Abtausch	0	N	2	2
820	Abtei	24	N	1	2
821	abteilen	4	V	1	3
822	Abteil	21	N	2	2
823	Abteilung	495	N	1	3
824	Abteilungsleiter	64	N	1	5
825	abteufen	0	V	1	3
826	abtippen	0	V	1	3
827	Aebtissin	13	N	2	3
828	abtoenen	0	V	1	3
829	Abtoenung	2	N	1	3
830	abtoeten	8	V	1	3
831	Abtoetung	2	N	1	3
832	abtragen	24	V	1	3
833	Abtrag	0	N	1	2
834	abtraeglich	14	A	1	3
835	Abtragung	17	N	1	3
836	Abtransport	16	N	3	3
837	abtransportieren	15	V	1	5
838	abtreiben	9	V	1	3
839	Abtreibung	25	N	1	3
840	abtrennen	25	V	1	3
841	abtrennbar	0	A	1	3
842	Abtrennung	6	N	1	3
843	abtreten	38	V	1	3
844	Abtreter	0	N	1	3
845	Abtretung	6	N	1	3
846	Abtrieb	1	N	1	2
847	Abtrift	0	N	1	2
848	abtrocknen	5	V	1	3
849	abtropfen	0	V	1	3
850	abtrotzen	5	V	1	3
851	abtrumpfen	0	V	1	3
852	abtun	22	V	1	2
853	abtupfen	0	V	1	3
854	Abtwahl	0	N	1	2
855	abundant	0	A	3	3
856	Abundanz	0	N	3	3
857	aburteilen	10	V	1	4
858	Aburteilung	6	N	1	4
859	abverkaufen	0	V	1	4
860	abverlangen	15	V	1	4
861	abvieren	0	V	1	3
862	abwaegen	26	V	1	3
863	abwaegsam	0	A	1	3
864	Abwaegung	5	N	1	3
865	abwaehlen	5	V	1	3
866	Abwahl	9	N	1	2
867	abwaelzen	33	V	1	3
868	abwandeln	14	V	1	3
869	Abwandelung	0	N	1	4
870	abwandern	6	V	1	3
871	Abwanderung	15	N	1	4
872	Abwandlung	19	N	1	3
873	Abwaerme	2	N	1	3
874	abwarten	155	V	1	3
875	Abwart	3	N	1	2
877	abwaschen	9	V	1	3
878	Abwasch	0	N	1	2
879	Abwaschung	0	N	1	3
880	Abwasser	22	N	1	3
881	abwechseln	24	V	1	3
882	abwechselnd	21	A	1	3
883	Abwechselung	0	N	1	4
884	Abwechslung	12	N	1	3
885	abwechslungslos	0	A	1	4
886	abwechslungsreich	22	A	1	4
887	Abweg	6	N	1	2
888	abwegig	22	A	1	3
889	Abwegigkeit	0	N	1	4
890	abwehren	59	V	1	3
891	Abwehr	160	N	1	2
892	Abwehrgeschuetz	0	N	1	4
893	Abwehrkampf	6	N	1	3
894	abweichen	60	V	1	3
895	Abweichung	52	N	1	3
896	abweiden	3	V	1	3
897	abweisen	34	V	1	3
898	abweisend	10	A	1	3
899	Abweiser	0	N	1	3
900	Abweisung	4	N	1	3
901	abwenden	60	V	1	3
902	abwendbar	0	A	1	3
903	abwendig	0	A	1	3
904	Abwendung	11	N	1	3
905	abwerben	1	V	1	3
906	Abwerbung	2	N	1	3
907	abwerfen	39	V	1	3
908	abwerten	23	V	1	3
909	Abwertung	50	N	1	3
910	abwesend	38	A	1	3
911	Abwesende	3	N	1	4
912	Abwesenheit	58	N	1	4
913	abwettern	0	V	1	3
914	abwetzen	1	V	1	3
915	abwichsen	0	V	1	3
916	abwickeln	0	V	1	3
